MICRON TECHNOLOGY INC,2020-04-27 15:32:05.640,2020-04-27 15:32:05.640,"FHP ","A780377 ",2020-04-17 00:00:00.000,2020-04-27 00:00:00.000,"MW29461   ","L130 DIA PAD COND, 4 IN",3M Cottage Grove,60020021899,"FHP ",D
MICRON TECHNOLOGY INC,2020-04-27 15:32:05.640,2020-04-27 15:32:05.640,"FHP ","A780378 ",2020-04-17 00:00:00.000,2020-04-27 00:00:00.000,"MW29461   ","L130 DIA PAD COND, 4 IN",3M Cottage Grove,60020021899,"FHP ",D
MICRON TECHNOLOGY INC,2020-04-27 15:32:05.640,2020-04-27 15:32:05.640,"FHP ","A780603 ",2020-04-20 00:00:00.000,2020-04-27 00:00:00.000,"MW29461   ","L130 DIA PAD COND, 4 IN",3M Cottage Grove,60020021899,"FHP ",D
MICRON TECHNOLOGY INC,2020-04-27 15:32:05.640,2020-04-27 15:32:05.640,"FHP ","A780604 ",2020-04-20 00:00:00.000,2020-04-27 00:00:00.000,"MW29461   ","L130 DIA PAD COND, 4 IN",3M Cottage Grove,60020021899,"FHP ",D
JAZZ SEMICONDUCTOR,2020-04-27 18:03:31.250,2020-04-27 18:03:31.250,"FHP ","A780132 ",2020-04-16 00:00:00.000,2020-04-27 00:00:00.000,"MW80810   ","A160-CIP1 DIA PAD COND,        4.25IN",3M Cottage Grove,60020021626,"FHP ",D
3M JAPAN LTD.,2020-04-27 19:48:46.210,2020-04-27 19:48:46.210,"FHP ","E764876 ",2020-04-21 00:00:00.000,NULL,"TK17736   ",3MS122 DIA PAD COND            4 IN,3M Cottage Grove,60020012690,"FHP ",D
3M JAPAN LTD.,2020-04-27 19:48:46.210,2020-04-27 19:48:46.210,"FHP ","E764877 ",2020-04-21 00:00:00.000,NULL,"TK17736   ",3MS122 DIA PAD COND            4 IN,3M Cottage Grove,60020012690,"FHP ",D
3M JAPAN LTD.,2020-04-27 19:48:46.210,2020-04-27 19:48:46.210,"FHP ","E764878 ",2020-04-21 00:00:00.000,NULL,"TK17736   ",3MS122 DIA PAD COND            4 IN,3M Cottage Grove,60020012690,"FHP ",D
3M FRANCE - EDC,2020-04-27 16:58:52.670,2020-04-27 17:04:15.570,"FHP ","E764264 ",2020-04-17 00:00:00.000,2020-04-27 00:00:00.000,"TK88526   ",3MA160 DIA PAD COND            4.25 IN,3M Cottage Grove,60980034296,"FHP ",D
3M FRANCE - EDC,2020-04-27 16:58:52.670,2020-04-27 17:04:15.570,"FHP ","E764265 ",2020-04-17 00:00:00.000,2020-04-27 00:00:00.000,"TK88526   ",3MA160 DIA PAD COND            4.25 IN,3M Cottage Grove,60980034296,"FHP ",D
3M FRANCE - EDC,2020-04-27 16:58:52.670,2020-04-27 17:04:15.570,"FHP ","E764266 ",2020-04-17 00:00:00.000,2020-04-27 00:00:00.000,"TK88526   ",3MA160 DIA PAD COND            4.25 IN,3M Cottage Grove,60980034296,"FHP ",D
3M FRANCE - EDC,2020-04-27 16:58:52.670,2020-04-27 17:04:15.570,"FHP ","E764267 ",2020-04-17 00:00:00.000,2020-04-27 00:00:00.000,"TK88526   ",3MA160 DIA PAD COND            4.25 IN,3M Cottage Grove,60980034296,"FHP ",D
3M FRANCE - EDC,2020-04-27 16:58:52.670,2020-04-27 17:04:15.570,"FHP ","E764268 ",2020-04-17 00:00:00.000,2020-04-27 00:00:00.000,"TK88526   ",3MA160 DIA PAD COND            4.25 IN,3M Cottage Grove,60980034296,"FHP ",D
3M FRANCE - EDC,2020-04-27 16:58:52.670,2020-04-27 17:04:15.570,"FHP ","E764269 ",2020-04-17 00:00:00.000,2020-04-27 00:00:00.000,"TK88526   ",3MA160 DIA PAD COND            4.25 IN,3M Cottage Grove,60980034296,"FHP ",D
3M FRANCE - EDC,2020-04-27 16:58:52.670,2020-04-27 17:04:15.570,"FHP ","E764270 ",2020-04-17 00:00:00.000,2020-04-27 00:00:00.000,"TK88526   ",3MA160 DIA PAD COND            4.25 IN,3M Cottage Grove,60980034296,"FHP ",D
3M FRANCE - EDC,2020-04-27 16:58:52.670,2020-04-27 17:04:15.570,"FHP ","E764271 ",2020-04-17 00:00:00.000,2020-04-27 00:00:00.000,"TK88526   ",3MA160 DIA PAD COND            4.25 IN,3M Cottage Grove,60980034296,"FHP ",D
3M JAPAN LTD.,2020-04-27 18:26:42.487,2020-04-27 18:26:42.487,"FHP ","E764622 ",2020-04-20 00:00:00.000,NULL,"TK17736   ",3MS122 DIA PAD COND            4 IN,3M Cottage Grove,60020012690,"FHP ",D
3M JAPAN LTD.,2020-04-27 18:26:42.487,2020-04-27 18:26:42.487,"FHP ","E764623 ",2020-04-20 00:00:00.000,NULL,"TK17736   ",3MS122 DIA PAD COND            4 IN,3M Cottage Grove,60020012690,"FHP ",D
3M JAPAN LTD.,2020-04-27 18:26:42.487,2020-04-27 18:26:42.487,"FHP ","E764624 ",2020-04-20 00:00:00.000,NULL,"TK17736   ",3MS122 DIA PAD COND            4 IN,3M Cottage Grove,60020012690,"FHP ",D
